rank,entry,origin,package,n_lines,stdin,want_rc,modes,write,writes,read,reads,find,match,upto,many,any,bal,tab,move,pos,stop,image,type,sort,put,push,pop,get,insert,delete,member,list,table,set,repl,map,trim,seq,integer,every,suspend,fail,return,while,until,repeat,case,next,break,create,record,procedure,local,static,global,scan,alternation,element_gen,limitation,to_by,assign,swap,aug_assign,coexpr_activate,keyword_ref,every_with_suspend,scan_with_tab,gen_with_alternation
1,gprogs/lindcomp,ipl__gprogs/lindcomp,ipl,117,0,1,"m3,m4",1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1
2,gprogs/tess,ipl__gprogs/tess,ipl,346,0,1,"m3,m4",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,1
3,gprogs/webimage,ipl__gprogs/webimage,ipl,84,0,0,"m3,m4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1
4,procs/eventgen,ipl__procs/eventgen,ipl,495,0,1,"m3,m4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
5,procs/sandgen,ipl__procs/sandgen,ipl,494,0,1,"m3,m4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
6,progs/adlcount,ipl__progs/adlcount,ipl,40,0,0,"m3,m4",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1
7,progs/animal,ipl__progs/animal,ipl,223,0,1,"m3,m4",1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
8,progs/banner,ipl__progs/banner,ipl,125,0,0,"m3,m4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,1
9,progs/based,ipl__progs/based,ipl,540,0,1,"m3,m4",1,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1
10,progs/crypt,ipl__progs/crypt,ipl,59,0,1,"m3,m4",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
