rank,entry,origin,package,n_lines,stdin,want_rc,modes,heap_kb,stack_kb
1,BipsPl/all_pl_bips,gnu_prolog__BipsPl/all_pl_bips,gnu_prolog,75,0,0,"m3,m4",,
2,BipsPl/all_solut,gnu_prolog__BipsPl/all_solut,gnu_prolog,127,0,0,"m3,m4",,
3,BipsPl/arith_inl,gnu_prolog__BipsPl/arith_inl,gnu_prolog,207,0,0,"m3,m4",,
4,BipsPl/assert,gnu_prolog__BipsPl/assert,gnu_prolog,148,0,0,"m3,m4",,
5,BipsPl/atom,gnu_prolog__BipsPl/atom,gnu_prolog,214,0,0,"m3,m4",,
6,BipsPl/call,gnu_prolog__BipsPl/call,gnu_prolog,305,0,0,"m3,m4",,
7,BipsPl/call_args,gnu_prolog__BipsPl/call_args,gnu_prolog,129,0,0,"m3,m4",,
8,BipsPl/catch,gnu_prolog__BipsPl/catch,gnu_prolog,140,0,0,"m3,m4",,
9,BipsPl/char_io,gnu_prolog__BipsPl/char_io,gnu_prolog,299,0,0,"m3,m4",,
10,BipsPl/const_io,gnu_prolog__BipsPl/const_io,gnu_prolog,209,0,0,"m3,m4",,
11,BipsPl/consult,gnu_prolog__BipsPl/consult,gnu_prolog,641,0,0,"m3,m4",,
12,BipsPl/control,gnu_prolog__BipsPl/control,gnu_prolog,90,0,0,"m3,m4",,
13,BipsPl/debugger,gnu_prolog__BipsPl/debugger,gnu_prolog,1017,0,0,"m3,m4",,
14,BipsPl/dec10io,gnu_prolog__BipsPl/dec10io,gnu_prolog,207,0,0,"m3,m4",,
15,BipsPl/expand,gnu_prolog__BipsPl/expand,gnu_prolog,113,0,0,"m3,m4",,
16,BipsPl/file,gnu_prolog__BipsPl/file,gnu_prolog,85,0,0,"m3,m4",,
17,BipsPl/flag,gnu_prolog__BipsPl/flag,gnu_prolog,138,0,0,"m3,m4",,
18,BipsPl/foreign,gnu_prolog__BipsPl/foreign,gnu_prolog,52,0,0,"m3,m4",,
19,BipsPl/format,gnu_prolog__BipsPl/format,gnu_prolog,57,0,0,"m3,m4",,
20,BipsPl/g_var_inl,gnu_prolog__BipsPl/g_var_inl,gnu_prolog,130,0,0,"m3,m4",,
21,BipsPl/le_interf,gnu_prolog__BipsPl/le_interf,gnu_prolog,84,0,0,"m3,m4",,
22,BipsPl/list,gnu_prolog__BipsPl/list,gnu_prolog,462,0,0,"m3,m4",,
23,BipsPl/no_le_interf,gnu_prolog__BipsPl/no_le_interf,gnu_prolog,46,0,0,"m3,m4",,
24,BipsPl/no_sockets,gnu_prolog__BipsPl/no_sockets,gnu_prolog,41,0,0,"m3,m4",,
25,BipsPl/oper,gnu_prolog__BipsPl/oper,gnu_prolog,71,0,0,"m3,m4",,
26,BipsPl/os_interf,gnu_prolog__BipsPl/os_interf,gnu_prolog,379,0,0,"m3,m4",,
