rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
1,6.c/APPENDICES/A03-older-specs/01-misc,roast__6.c/APPENDICES/A03-older-specs/01-misc,roast,476,0,0,,
2,6.c/APPENDICES/A04-experimental/01-misc,roast__6.c/APPENDICES/A04-experimental/01-misc,roast,372,0,0,,
3,6.c/MISC/bug-coverage-stress,roast__6.c/MISC/bug-coverage-stress,roast,244,0,0,,
4,6.c/MISC/bug-coverage,roast__6.c/MISC/bug-coverage,roast,403,0,0,,
5,6.c/MISC/misc-6.c,roast__6.c/MISC/misc-6.c,roast,32,0,0,,
6,6.c/S02-names/SETTING-6c,roast__6.c/S02-names/SETTING-6c,roast,21,0,0,,
7,6.c/S02-names/pseudo-6c,roast__6.c/S02-names/pseudo-6c,roast,517,0,0,,
8,6.c/S02-types/subset-6c,roast__6.c/S02-types/subset-6c,roast,299,0,0,,
9,6.c/S03-operators/set_precedes,roast__6.c/S03-operators/set_precedes,roast,91,0,0,,
10,6.c/S04-declarations/my-6c,roast__6.c/S04-declarations/my-6c,roast,449,0,0,,
11,6.c/S05-grammar/methods,roast__6.c/S05-grammar/methods,roast,45,0,0,,
12,6.c/S05-grammar/parse_and_parsefile-6c,roast__6.c/S05-grammar/parse_and_parsefile-6c,roast,93,0,0,,
13,6.c/S06-other/main-refactored,roast__6.c/S06-other/main-refactored,roast,303,0,0,,
14,6.c/S12-class/mro-6c,roast__6.c/S12-class/mro-6c,roast,92,0,0,,
15,6.c/S14-roles/attributes,roast__6.c/S14-roles/attributes,roast,114,0,0,,
16,6.c/S14-roles/mixin-6c,roast__6.c/S14-roles/mixin-6c,roast,269,0,0,,
17,6.c/S14-roles/submethods,roast__6.c/S14-roles/submethods,roast,46,0,0,,
18,6.c/S32-io/file-tests,roast__6.c/S32-io/file-tests,roast,580,0,0,,
19,6.d/S02-literals/version,roast__6.d/S02-literals/version,roast,38,0,0,,
20,6.d/S05-capture/match-object,roast__6.d/S05-capture/match-object,roast,18,0,0,,
21,6.d/S09-multidim/indexing,roast__6.d/S09-multidim/indexing,roast,11,0,0,,
22,6.d/S15-unicode-information/uniname,roast__6.d/S15-unicode-information/uniname,roast,11,0,0,,
23,6.d/S32-num/atanh,roast__6.d/S32-num/atanh,roast,12,0,0,,
24,6.d/S32-num/log,roast__6.d/S32-num/log,roast,14,0,0,,
25,6.d/S32-num/sign,roast__6.d/S32-num/sign,roast,15,0,0,,
26,6.d/S32-num/sqrt,roast__6.d/S32-num/sqrt,roast,16,0,0,,
27,6.d/S32-str/sprintf-b,roast__6.d/S32-str/sprintf-b,roast,299,0,0,,
28,6.d/S32-str/sprintf-c,roast__6.d/S32-str/sprintf-c,roast,78,0,0,,
29,6.d/S32-str/sprintf-d,roast__6.d/S32-str/sprintf-d,roast,243,0,0,,
30,6.d/S32-str/sprintf-e,roast__6.d/S32-str/sprintf-e,roast,199,0,0,,
31,6.d/S32-str/sprintf-f,roast__6.d/S32-str/sprintf-f,roast,201,0,0,,
32,6.d/S32-str/sprintf-o,roast__6.d/S32-str/sprintf-o,roast,304,0,0,,
33,6.d/S32-str/sprintf-s,roast__6.d/S32-str/sprintf-s,roast,131,0,0,,
34,6.d/S32-str/sprintf-u,roast__6.d/S32-str/sprintf-u,roast,94,0,0,,
35,6.d/S32-str/sprintf-x,roast__6.d/S32-str/sprintf-x,roast,307,0,0,,
36,6.d/S32-str/sprintf,roast__6.d/S32-str/sprintf,roast,368,0,0,,
37,APPENDICES/A01-limits/misc,roast__APPENDICES/A01-limits/misc,roast,70,0,0,,
38,APPENDICES/A01-limits/overflow,roast__APPENDICES/A01-limits/overflow,roast,79,0,0,,
39,APPENDICES/A02-some-day-maybe/concreteness,roast__APPENDICES/A02-some-day-maybe/concreteness,roast,14,0,0,,
40,APPENDICES/A02-some-day-maybe/io-cathandle,roast__APPENDICES/A02-some-day-maybe/io-cathandle,roast,17,0,0,,
41,APPENDICES/A02-some-day-maybe/misc,roast__APPENDICES/A02-some-day-maybe/misc,roast,55,0,0,,
42,APPENDICES/A02-some-day-maybe/multi-no-match,roast__APPENDICES/A02-some-day-maybe/multi-no-match,roast,74,0,0,,
43,MISC/bug-coverage-6.d,roast__MISC/bug-coverage-6.d,roast,14,0,0,,
44,MISC/bug-coverage-stress,roast__MISC/bug-coverage-stress,roast,37,0,0,,
45,MISC/misc,roast__MISC/misc,roast,182,0,0,,
46,S01-perl-5-integration/array,roast__S01-perl-5-integration/array,roast,100,0,0,,
