name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
100func.sno	OK	OK	NO_ORACLE			
8bit2.sno	ERR	OK	NO_ORACLE	rc=1 8bit2.sno(1,2) : ERROR 230 -- syntax error: illegal character		
8bit.sno	OK	OK	NO_ORACLE			
aa.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 aa.sno:1: Error 32 in statement 0 at level 0	
alis.sno	ERR	OK	NO_ORACLE	rc=231 alis.sno(57,14) : ERROR 230 -- syntax error: illegal character		
alph.sno	OK	OK	NO_ORACLE			
alt1.sno	OK	OK	NO_ORACLE			
alt2.sno	OK	OK	NO_ORACLE			
any.sno	OK	OK	NO_ORACLE			
a.sno	OK	OK	NO_ORACLE			
atn.sno	OK	OK	NO_ORACLE			
bal.sno	OK	OK	NO_ORACLE			
basename.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 basename.sno:13: Error 32 in statement 0 at level 0	
base.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
bb.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 bb.sno:1: Error 32 in statement 0 at level 0	
bench.sno	OK	ERR	NO_ORACLE		rc=1 NO FILENAME ON COMMAND LINE	
breakline.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
breakx.sno	OK	OK	NO_ORACLE			
case1.sno	OK	OK	NO_ORACLE			
case2.sno	OK	OK	NO_ORACLE			
cat.sno	OK	OK	NO_ORACLE			
char.sno	OK	OK	NO_ORACLE			
collect2.sno	OK	OK	NO_ORACLE			
collect.sno	OK	OK	NO_ORACLE			
comment.sno	OK	OK	NO_ORACLE			
contin.sno	OK	OK	NO_ORACLE			
conv2.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
convert.sno	OK	OK	NO_ORACLE			
crlf.sno	ERR	OK	NO_ORACLE	rc=1 crlf.sno(1,30) : ERROR 230 -- syntax error: illegal character		
diag1.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
diag2.sno	ERR	OK	NO_ORACLE	rc=1 242     .          error()		
digits.sno	OK	OK	NO_ORACLE			
dump.sno	OK	OK	NO_ORACLE			
end.sno	OK	OK	NO_ORACLE			
err.sno	OK	OK	NO_ORACLE			
factor.sno	OK	OK	NO_ORACLE			
fact.sno	OK	OK	NO_ORACLE			
file.sno	OK	OK	NO_ORACLE			
float2.sno	OK	OK	NO_ORACLE			
float.sno	OK	OK	NO_ORACLE			
ftrace.sno	OK	OK	NO_ORACLE			
fun1.sno	OK	OK	NO_ORACLE			
fun2.sno	OK	OK	NO_ORACLE			
func2.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
function.sno	OK	OK	NO_ORACLE			
genc.sno	ERR	ERR	NO_ORACLE	rc=1 NO FILENAME ON COMMAND LINE	rc=1 NO FILENAME ON COMMAND LINE	
hello.sno	OK	OK	NO_ORACLE			
hide.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
host.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 host.sno:516: Error 32 in statement 0 at level 0	
include2.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
include3.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
include4.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
include.sno	OK	OK	NO_ORACLE			
ind.sno	OK	OK	NO_ORACLE			
intval.sno	OK	OK	NO_ORACLE			
json1.sno	OK	OK	NO_ORACLE			
json.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 json.sno:338: Error 32 in statement 0 at level 0	
keytrace.sno	ERR	OK	NO_ORACLE	rc=231 keytrace.sno(15) : ERROR 014 -- division caused integer overflow		
k.sno	ERR	OK	NO_ORACLE	rc=1 No END statement found in source file(s).		
labelcode.sno	OK	OK	NO_ORACLE			
label.sno	OK	OK	NO_ORACLE			
