name	sbl	csnobol4	snoflake	sbl_note	csnobol4_note	snoflake_note
AGT_driver.sno	OK	OK	NO_ORACLE			
AGT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 AGT.sno:14: Error 32 in statement 0 at level 0	
AI_driver.sno	OK	OK	NO_ORACLE			
AI.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 AI.sno:13: Error 32 in statement 0 at level 0	
AOPA_driver.sno	OK	OK	NO_ORACLE			
AOPA.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 AOPA.sno:19: Error 32 in statement 0 at level 0	
ARC_driver.sno	OK	OK	NO_ORACLE			
ARC.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 ARC.sno:25: Error 32 in statement 0 at level 0	
ASM360_driver.sno	OK	OK	NO_ORACLE			
ASM360.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 ASM360.sno:28: Error 32 in statement 0 at level 0	
ASM_driver.sno	OK	OK	NO_ORACLE			
ASM.sno	OK	OK	NO_ORACLE			
BAL_driver.sno	OK	OK	NO_ORACLE			
BALREV_driver.sno	OK	OK	NO_ORACLE			
BALREV.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BALREV.sno:11: Error 32 in statement 0 at level 0	
BAL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BAL.sno:13: Error 32 in statement 0 at level 0	
BASE10_driver.sno	OK	OK	NO_ORACLE			
BASE10.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BASE10.sno:13: Error 32 in statement 0 at level 0	
BASEB_driver.sno	OK	OK	NO_ORACLE			
BASEB.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BASEB.sno:13: Error 32 in statement 0 at level 0	
BCD_EBCD_driver.sno	OK	OK	NO_ORACLE			
BCD_EBCD.sno	OK	OK	NO_ORACLE			
BLANKS_driver.sno	OK	OK	NO_ORACLE			
BLANKS.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BLANKS.sno:35: Error 32 in statement 0 at level 0	
BLEND_driver.sno	OK	OK	NO_ORACLE			
BLEND.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BLEND.sno:23: Error 32 in statement 0 at level 0	
BNORM_driver.sno	OK	OK	NO_ORACLE			
BNORM.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BNORM.sno:27: Error 32 in statement 0 at level 0	
BREAKX_driver.sno	OK	OK	NO_ORACLE			
BREAKX.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BREAKX.sno:11: Error 32 in statement 0 at level 0	
BRKREM_driver.sno	OK	OK	NO_ORACLE			
BRKREM.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BRKREM.sno:12: Error 32 in statement 0 at level 0	
BSORT_driver.sno	OK	OK	NO_ORACLE			
BSORT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 BSORT.sno:17: Error 32 in statement 0 at level 0	
CARDPAK_driver.sno	OK	ERR	NO_ORACLE		rc=1 RANDOM.sno:5: Error 1 in statement 5 at level 3	
CARDPAK.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 CARDPAK.sno:39: Error 32 in statement 0 at level 0	
CATA_driver.sno	OK	OK	NO_ORACLE			
CATA.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 CATA.sno:12: Error 32 in statement 0 at level 0	
CH_driver.sno	OK	OK	NO_ORACLE			
CH.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 CH.sno:12: Error 32 in statement 0 at level 0	
COMB_driver.sno	OK	OK	NO_ORACLE			
COMB.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 COMB.sno:7: Error 32 in statement 0 at level 0	
COPYL_driver.sno	OK	OK	NO_ORACLE			
COPYL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 COPYL.sno:19: Error 32 in statement 0 at level 0	
COUNT_driver.sno	OK	OK	NO_ORACLE			
COUNT.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 COUNT.sno:11: Error 32 in statement 0 at level 0	
CRACK_driver.sno	OK	OK	NO_ORACLE			
CRACK.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 CRACK.sno:14: Error 32 in statement 0 at level 0	
DAY_driver.sno	OK	ERR	NO_ORACLE		rc=1 DAY.sno:23: Error 1 in statement 16 at level 1	
DAY.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 DAY.sno:27: Error 32 in statement 0 at level 0	
DECOMB_driver.sno	OK	OK	NO_ORACLE			
DECOMB.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 DECOMB.sno:12: Error 32 in statement 0 at level 0	
DEXP_driver.sno	OK	OK	NO_ORACLE			
DEXP.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 DEXP.sno:10: Error 32 in statement 0 at level 0	
DEXTERN_driver.sno	OK	OK	NO_ORACLE			
DEXTERN.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 DEXTERN.sno:21: Error 32 in statement 0 at level 0	
DIFF_driver.sno	OK	OK	NO_ORACLE			
DIFF.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 DIFF.sno:10: Error 32 in statement 0 at level 0	
FASTBAL_driver.sno	OK	OK	NO_ORACLE			
FASTBAL.sno	ERR	ERR	NO_ORACLE	rc=1 No END statement found in source file(s).	rc=1 FASTBAL.sno:28: Error 32 in statement 0 at level 0	
FIND_driver.sno	OK	OK	NO_ORACLE			
