rank,entry,origin,package,n_lines,stdin,want_rc,heap_kb,stack_kb
1,alphabet-keyword,snoflake_suite__alphabet-keyword,snoflake_suite,8,0,0,131072,4096
2,arbitrarily-long-integers,snoflake_suite__arbitrarily-long-integers,snoflake_suite,65,0,0,131072,4096
3,arbno-alternative-backtracking,snoflake_suite__arbno-alternative-backtracking,snoflake_suite,16,0,0,131072,4096
4,array-bounds,snoflake_suite__array-bounds,snoflake_suite,20,0,0,131072,4096
5,arrays-tables-data,snoflake_suite__arrays-tables-data,snoflake_suite,15,0,0,131072,4096
6,assignment-object-failure,snoflake_suite__assignment-object-failure,snoflake_suite,9,0,0,131072,4096
7,backspace-at-start,snoflake_suite__backspace-at-start,snoflake_suite,12,0,0,131072,4096
8,basic-patterns,snoflake_suite__basic-patterns,snoflake_suite,19,0,0,131072,4096
9,beer-countdown,snoflake_suite__beer-countdown,snoflake_suite,16,0,0,131072,4096
10,break-replacement-cycle,snoflake_suite__break-replacement-cycle,snoflake_suite,12,0,0,131072,4096
11,bubble-sort,snoflake_suite__bubble-sort,snoflake_suite,61,0,0,131072,4096
12,case-fold-disabled,snoflake_suite__case-fold-disabled,snoflake_suite,9,0,0,131072,4096
13,case-folding,snoflake_suite__case-folding,snoflake_suite,12,0,0,131072,4096
14,character-patterns,snoflake_suite__character-patterns,snoflake_suite,19,0,0,131072,4096
15,character-set-keywords,snoflake_suite__character-set-keywords,snoflake_suite,11,0,0,131072,4096
16,clear-variables,snoflake_suite__clear-variables,snoflake_suite,14,0,0,131072,4096
17,collect-and-locals,snoflake_suite__collect-and-locals,snoflake_suite,16,0,0,131072,4096
18,complex-multiplication-opsyn,snoflake_suite__complex-multiplication-opsyn,snoflake_suite,32,0,0,131072,4096
19,control-flow,snoflake_suite__control-flow,snoflake_suite,19,0,0,131072,4096
20,control-hide-list-control-line,snoflake_suite__control-hide-list-control-line,snoflake_suite,8,0,0,131072,4096
21,control-hide-statement-numbers,snoflake_suite__control-hide-statement-numbers,snoflake_suite,14,0,0,131072,4096
22,convert-and-datatype,snoflake_suite__convert-and-datatype,snoflake_suite,15,0,0,131072,4096
23,csnobol4-extensions,snoflake_suite__csnobol4-extensions,snoflake_suite,16,0,0,131072,4096
24,cursor-position-underline,snoflake_suite__cursor-position-underline,snoflake_suite,31,0,0,131072,4096
25,dump-ordered,snoflake_suite__dump-ordered,snoflake_suite,19,0,0,131072,4096
26,dump-variables,snoflake_suite__dump-variables,snoflake_suite,13,0,0,131072,4096
27,eliza-duquet-original,snoflake_suite__eliza-duquet-original,snoflake_suite,345,0,0,131072,4096
28,eliza-modernized,snoflake_suite__eliza-modernized,snoflake_suite,297,0,0,131072,4096
29,endfile-rewind-write-read,snoflake_suite__endfile-rewind-write-read,snoflake_suite,17,0,0,131072,4096
30,errlimit,snoflake_suite__errlimit,snoflake_suite,10,0,0,131072,4096
31,eval-apply-opsyn,snoflake_suite__eval-apply-opsyn,snoflake_suite,15,0,0,131072,4096
32,exhaustive-substring,snoflake_suite__exhaustive-substring,snoflake_suite,14,0,0,131072,4096
33,factorial-table,snoflake_suite__factorial-table,snoflake_suite,30,0,0,131072,4096
34,fail-logical-and-words,snoflake_suite__fail-logical-and-words,snoflake_suite,30,0,0,131072,4096
35,fence-and-abort,snoflake_suite__fence-and-abort,snoflake_suite,15,0,0,131072,4096
36,fixed-column-name-address,snoflake_suite__fixed-column-name-address,snoflake_suite,23,0,0,131072,4096
37,fullscan-combinations,snoflake_suite__fullscan-combinations,snoflake_suite,31,0,0,131072,4096
38,fullscan-overlap,snoflake_suite__fullscan-overlap,snoflake_suite,11,0,0,131072,4096
39,fullscan-palindrome,snoflake_suite__fullscan-palindrome,snoflake_suite,22,0,0,131072,4096
40,function-arg-local,snoflake_suite__function-arg-local,snoflake_suite,16,0,0,131072,4096
41,gimpel-additional-string-functions,snoflake_suite__gimpel-additional-string-functions,snoflake_suite,41,0,0,131072,4096
42,gimpel-array-functions,snoflake_suite__gimpel-array-functions,snoflake_suite,26,0,0,131072,4096
43,gimpel-asm-machine-m,snoflake_suite__gimpel-asm-machine-m,snoflake_suite,77,0,0,131072,4096
44,gimpel-asm360-pli-once,snoflake_suite__gimpel-asm360-pli-once,snoflake_suite,67,0,0,131072,4096
45,gimpel-basic-string-functions,snoflake_suite__gimpel-basic-string-functions,snoflake_suite,26,0,0,131072,4096
46,gimpel-bcd-ebcd-conversion,snoflake_suite__gimpel-bcd-ebcd-conversion,snoflake_suite,14,0,0,131072,4096
47,gimpel-binary-tree-linearize,snoflake_suite__gimpel-binary-tree-linearize,snoflake_suite,18,0,0,131072,4096
