CONSTRUCT	GRAMMAR_NODE	PROBE	NATIVE_STATUS	NOTE
integer literal	TT_ILIT	lit_int	PASS	
real literal	TT_FLIT	lit_real	PASS*	native correct; D1 transpiler segfaults
string literal SQ/DQ	TT_QLIT	lit_string	PASS	
keyword &X	TT_KEYWORD	lit_keyword	PASS	
addition/subtraction	TT_ADD/TT_SUB	arith_add	PASS	
mul/div/pow	TT_MUL/TT_DIV/TT_POW	arith_muldiv	PASS	
operator precedence	(chain)	arith_prec	PASS	incl right-assoc ^
unary +/-	TT_PLS/TT_MNS	arith_unary	PASS	
concatenation (space)	TT_SEQ	concat	PASS	
numeric compare LT/GT/EQ/LE/GE/NE	TT_FNC	cmp_num	PASS	
lexical compare LEQ/LLT/LGT/LNE	TT_FNC	cmp_lex	PASS	
predicate failure gating	TT_FNC	cmp_fail	PASS	
IDENT/DIFFER	TT_FNC	ident_differ	PASS	
builtin string fns	TT_FNC	builtin_str	PASS	SIZE/REPLACE/REVERSE/TRIM/SUBSTR/DUPL
pattern match ? (bool ctx)	TT_SCAN	pat_basic	PASS	
pattern primitives SPAN/BREAK/LEN/ANY/NOTANY/BREAKX	TT_FNC	pat_prims	PASS	
POS/RPOS/TAB/RTAB/REM	TT_FNC	pat_pos	PASS	
conditional capture .	TT_CAPT_COND_ASGN	pat_capture	PASS	
immediate capture $	TT_CAPT_IMMED_ASGN	pat_immed	PASS	
alternation |	TT_ALT	pat_alt	PASS	
ARBNO + recursive lists	TT_FNC	pat_arbno	PASS	
FENCE (unanchored commit)	TT_FNC/kw	pat_fence	FAIL	D3 drop+segfault on unanchored FENCE unwind
ABORT (chained)	kw	pat_abort	FAIL	D4 post-fail stmt emission corrupt
match VALUE in expr position	TT_SCAN	(D2 probes)	FAIL	D2 silent drop / BOMB bz
if/elif/else	TT_IF	ctl_if	PASS	
while	TT_WHILE	ctl_while	PASS	
do-while	TT_DO_WHILE	ctl_dowhile	PASS	
for	TT_FOR	ctl_for	PASS	
break	TT_LOOP_BREAK	ctl_break	PASS	
continue	TT_LOOP_NEXT	ctl_continue	PASS	
switch/case	TT_CASE	ctl_switch	PASS	
switch default	TT_CASE	ctl_switch_default	PASS	
function def + call + return	TT_DEFINE/TT_RETURN	fn_basic	PASS	
recursion	TT_DEFINE	fn_recur	PASS	fact(5)=120
freturn	TT_PROC_FAIL	fn_freturn	PASS	
nreturn + name	TT_NRETURN	fn_nreturn	FAIL	D7 malformed transpile + native empty
folded locals	TT_PARAMS	fn_local	PASS	
struct + accessors + setters	TT_STRUCT	struct_basic	PASS	
goto/label	TT_GOTO_U/TT_LABEL	goto_basic	FAIL	D6 tree kind 127 not in native subset
indirection $	TT_INDIRECT	indirect	PASS	
array	TT_FNC/TT_IDX	array_basic	PASS	
table	TT_FNC/TT_IDX	table_basic	PASS	
augmented assign += -= *= /= ^=	TT_AUGOP	augop	PASS	
multiple assignment	TT_ASSIGN	multi_assign	PASS	a=b=c=7
alternative eval (e1,e2,e3)	TT_VLIST	alt_eval	FAIL	D8 fall-through value dropped
unary name .	TT_NAME	unary_name	PASS	
unary interrogation ?	TT_INTERROGATE	unary_interro	FAIL	D9 tree kind 9 not in native subset
unary negation ~	TT_NOT	unary_neg	PASS	
vlist/differ	TT_VLIST	vlist	PASS	
datatype/convert	TT_FNC	datatype	PASS	UPPERCASE datatypes, both engines
